qid,wikidata_name,display_name,country,club_qid,alias
Q3479617,세르주 데블레,세르주 데블레,코트디부아르,Q192071,Serges Deble
Q3480656,Seth Adonkor,Seth Adonkor,가나,Q192071,
Q3480656,Seth Adonkor,Seth Adonkor,프랑스,Q192071,
Q3496706,Stanislas Staho,Stanislas Staho,프랑스,Q192071,
Q3497797,Steen Rømer Larsen,Steen Rømer Larsen,덴마크 왕국,Q192071,
Q3498830,Stevan Sekereš,Stevan Sekereš,세르비아,Q192071,
Q350085,Ismaël Bangoura,Ismaël Bangoura,프랑스,Q192071,
Q3501703,Stéphan Dakowski,Stéphan Dakowski,프랑스,Q192071,Stephan Dakowski
Q3501960,스테판 모로,스테판 모로,프랑스,Q192071,Stephane Moreau
Q3510191,Sébastien Le Paih,Sébastien Le Paih,프랑스,Q192071,Sebastien Le Paih
Q3510210,Sébastien Macé,Sébastien Macé,프랑스,Q192071,Sebastien Mace
Q3524099,Thierno Youm,Thierno Youm,세네갈,Q192071,
Q3524147,Thierry Bonalair,Thierry Bonalair,프랑스,Q192071,Thierry Abel Bonalair
Q352508,뱅상 브리앙,뱅상 브리앙,프랑스,Q192071,
Q353717,아델 셀리미,아델 셀리미,튀니지,Q192071,
Q3557622,Víctor Trossero,Víctor Trossero,아르헨티나,Q192071,"Óscar Víctor Trossero, Victor Trossero"
Q3559491,Vincent Bessat,Vincent Bessat,프랑스,Q192071,
Q3559496,Vincent Bracigliano,Vincent Bracigliano,프랑스,Q192071,
Q3559615,Vincent Estève,Vincent Estève,프랑스,Q192071,Vincent Esteve
Q3559838,뱅상 사소,뱅상 사소,프랑스,Q192071,뱅상 쥘리앵 사소
Q3568220,Wilfried Moimbé,Wilfried Moimbé,프랑스,Q192071,Wilfried Moimbe
Q3573723,Yves Jort,Yves Jort,프랑스,Q192071,
Q3573990,Yves Triantafyllos,Yves Triantafyllos,그리스,Q192071,
Q3573990,Yves Triantafyllos,Yves Triantafyllos,프랑스,Q192071,
Q3577012,Ángel Marcos,Ángel Marcos,아르헨티나,Q192071,Angel Marcos
Q3591075,Éric Decroix,Éric Decroix,프랑스,Q192071,Eric Decroix
Q3591247,Éric Loussouarn,Éric Loussouarn,프랑스,Q192071,Eric Loussouarn
Q371437,살로몽 올렘베,살로몽 올렘베,카메룬,Q192071,Salomon Olembe
Q371437,살로몽 올렘베,살로몽 올렘베,프랑스,Q192071,Salomon Olembe
Q372480,실뱅 아르망,실뱅 아르망,프랑스,Q192071,
Q37453754,사뮈엘 무투사미,사뮈엘 무투사미,콩고 민주 공화국,Q192071,Samuel Albert Alain Arcade Moutoussamy
Q37453754,사뮈엘 무투사미,사뮈엘 무투사미,프랑스,Q192071,Samuel Albert Alain Arcade Moutoussamy
Q37530836,Kemokho Cissokho,Kemokho Cissokho,세네갈,Q192071,Kemekho Cissokho
Q376247,디미트리 파예트,디미트리 파예트,프랑스,Q192071,
Q378790,리카르도 파티,리카르도 파티,프랑스,Q192071,리카르도 윌리암 파티
Q387465,올리비에 몬테루비오,올리비에 몬테루비오,프랑스,Q192071,
Q3953812,Sebastián Cobelli,Sebastián Cobelli,아르헨티나,Q192071,Sebastian Cobelli
Q39728,Aléxis Thébaux,Aléxis Thébaux,프랑스,Q192071,Alexis Thebaux
Q3979280,Sébastien Pauvert,Sébastien Pauvert,프랑스,Q192071,Sebastien Pauvert
Q401366,Ahmed Reda Madouni,Ahmed Reda Madouni,알제리,Q192071,
Q401366,Ahmed Reda Madouni,Ahmed Reda Madouni,프랑스,Q192071,
Q40848615,Willem Geubbels,Willem Geubbels,프랑스,Q192071,Willem Davnis Louis Didier Geubbels
Q429717,니콜라 지예,니콜라 지예,프랑스,Q192071,
Q434641,앙리 미셸,앙리 미셸,프랑스,Q192071,Henri Louis Michel
Q43943,조제 투레,조제 투레,말리,Q192071,Jose Toure
Q43943,조제 투레,조제 투레,프랑스,Q192071,Jose Toure
Q455328,버넬 니콜리처,버넬 니콜리처,루마니아,Q192071,
Q455486,브뤼노 셰루,브뤼노 셰루,프랑스,Q192071,브뤼니 올리비에 셰루
Q456197,뤼디 리우,뤼디 리우,프랑스,Q192071,
Q457237,기란 은다우,기란 은다우,세네갈,Q192071,
Q457237,기란 은다우,기란 은다우,프랑스,Q192071,
Q463933,바히드 할릴호지치,바히드 할릴호지치,보스니아 헤르체고비나,Q192071,Vahid Halilhodzic
Q463933,바히드 할릴호지치,바히드 할릴호지치,프랑스,Q192071,Vahid Halilhodzic
Q465173,Guy Roland Ndy Assembe,Guy Roland Ndy Assembe,카메룬,Q192071,Guy Rolland N'Dy Assembé
Q465173,Guy Roland Ndy Assembe,Guy Roland Ndy Assembe,프랑스,Q192071,Guy Rolland N'Dy Assembé
Q469243,파트리스 로코,파트리스 로코,프랑스,Q192071,
Q4697194,에메 라비,에메 라비,콩고 공화국,Q192071,Aime Lavie
Q4720878,Alexandre Morfaw,Alexandre Morfaw,카메룬,Q192071,
Q472513,Dennis Oliech,Dennis Oliech,케냐,Q192071,Dennis Oguta Oliech
Q472740,막심 보시,막심 보시,프랑스,Q192071,Maxime Jean Marcel Bossis
Q4739096,Amadou Sanokho,Amadou Sanokho,프랑스,Q192071,
Q47499553,Alexandre Olliero,Alexandre Olliero,프랑스,Q192071,
Q4791074,Aristote Lusinga,Aristote Lusinga,콩고 공화국,Q192071,
Q4792689,Armand Oné,Armand Oné,코트디부아르,Q192071,Armand One
Q4792689,Armand Oné,Armand Oné,프랑스,Q192071,Armand One
Q486930,이용재,이용재,대한민국,Q192071,
Q5068315,Chaker Alhadhur,Chaker Alhadhur,코모로,Q192071,
Q5068315,Chaker Alhadhur,Chaker Alhadhur,프랑스,Q192071,
Q508711,디디에 데샹,디디에 데샹,프랑스,Q192071,디디에 클로드 데샹
Q513580,아리자 마쿠쿨라,아리자 마쿠쿨라,콩고 민주 공화국,Q192071,
Q513580,아리자 마쿠쿨라,아리자 마쿠쿨라,포르투갈,Q192071,
Q516892,훌리오 올라르티코에체아,훌리오 올라르티코에체아,아르헨티나,Q192071,
Q516985,Antoine Sibierski,Antoine Sibierski,프랑스,Q192071,
Q518577,마라마 바이루아,마라마 바이루아,프랑스,Q192071,
Q520658,Alain Caveglia,Alain Caveglia,프랑스,Q192071,
Q521345,Jaouad Zairi,Jaouad Zairi,모로코,Q192071,
Q521345,Jaouad Zairi,Jaouad Zairi,프랑스,Q192071,
Q522037,빅토르 보니야,빅토르 보니야,콜롬비아,Q192071,빅토르 마누엘 보니야 이네스트로사
Q522955,앙드레 스트라프,앙드레 스트라프,프랑스,Q192071,"Andre Louis Strappe, André Louis Strappe, Andre Strappe"
Q5232236,David Castilla,David Castilla,프랑스,Q192071,
Q5258151,데니스 아피아흐,데니스 아피아흐,가나,Q192071,
